overall_rank,constituency,region,winningvotes,secondplace,secondplacevotes,vote_majority,winningpct
1,Falkirk,Scotland,34831,Labour,15130,19701,57.7
2,Dundee East,Scotland,28765,Labour,9603,19162,59.7
3,Dundee West,Scotland,27684,Labour,10592,17092,61.9
4,Livingston,Scotland,32736,Labour,15893,16843,56.9
5,"East Kilbride, Strathaven and Lesmahagow",Scotland,33678,Labour,17151,16527,55.6
