overall_rank,constituency,region,winningvotes,secondplace,secondplacevotes,vote_majority,winningpct
1,Knowsley,North West England,39628,UKIP,4973,34655,78.1
2,East Ham,London,40563,Conservative,6311,34252,77.6
3,Bootle,North West England,33619,UKIP,4915,28704,74.46
4,West Ham,London,36132,Conservative,8146,27986,68.4
5,Liverpool Walton,North West England,31222,UKIP,3445,27777,81.3
